ticker,n_pre2018,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_total
ETR,1427,218,262,148,89,149,193,2486
BMO,1174,258,256,178,151,165,192,2374
TROW,1603,511,437,181,123,181,192,3228
AEE,1114,473,254,137,60,140,192,2370
TECK,154,69,61,41,56,169,191,741
NVR,1178,293,306,118,60,140,190,2285
NOK,3971,369,336,346,279,187,190,5678
PAYX,2012,573,316,156,103,202,190,3552
HBAN,1614,257,268,156,64,158,189,2706
MSTR,459,53,100,50,263,149,187,1261
VALE,1646,176,541,180,96,192,185,3016
HOG,2260,540,415,287,171,280,182,4135
BEN,2384,367,397,215,98,188,181,3830
RRC,2669,374,386,121,69,195,180,3994
PWR,1162,174,297,122,68,157,177,2157
FAS,753,147,101,98,182,209,175,1665
SYY,1913,448,413,277,81,302,174,3608
ATI,1115,264,202,112,26,352,171,2242
AN,1655,174,218,258,92,258,159,2814
WSM,2157,359,356,180,106,252,157,3567
EXR,930,292,210,114,47,241,155,1989
CNQ,1290,333,288,227,131,233,154,2656
CSL,774,217,310,110,124,302,152,1989
ALKS,1274,401,374,115,67,358,138,2727
